Index,Title,Views,Likes,CategoryId,Published Date,Channel Name,Id,label
0,Jordan Peterson - How To Destroy Your Negative Beliefs (4K),11120378,129480,22,2023-11-27T16:00:30Z,Chris Williamson,WEP5ubPMGDU,1
1,Jordan Peterson - 7 Harsh Truths To Take Control Of Your Life,5647156,121736,22,2022-02-17T16:00:44Z,Chris Williamson,laSK7Pxh0_8,1
2,DISCIPLINE YOURSELF -  Best Motivational Speeches by Jordan Peterson,6076195,122956,27,2022-07-22T13:00:40Z,Chispa Motivation,rhjiANJVR6g,1
3,Jordan Peterson's Life Advice Will Change Your Future (MUST WATCH),14851789,386693,27,2018-02-19T12:00:04Z,Motivation Madness,wqEsTPaUZF0,1
4,"The Choice We All Have , But Only a Few Apply It | Jordan Peterson",10568618,226173,27,2018-11-12T12:00:05Z,Motivation Madness,dJyz6iK8VXE,1
5,FIND MEANING IN YOUR LIFE - JORDAN PETERSON [AMAZING],3066337,43789,27,2018-09-13T15:51:27Z,Mulligan Brothers Interviews,4OmC6LyO5QI,0
6,"""You Should Be A Monster"" | Jordan Peterson Motivation",4462875,115321,27,2022-12-07T13:00:00Z,WordToTheWise,-gYpCIbZjUQ,1
7,You're Screwed No Matter What You Do | Jordan Peterson,310861,9820,27,2022-01-13T13:00:20Z,WordToTheWise,IKot8dQc1Ps,0
8,A Reminder To Treat Yourself Better | Jordan Peterson Motivation | 12 Rules For Life,77516,1639,27,2023-04-05T12:00:53Z,WordToTheWise,yaXm6UsSHBM,0
9,Anything Worth Doing Is Worth Doing Badly | Jordan Peterson | Best Life Advice,986425,31554,27,2019-12-26T14:00:44Z,WordToTheWise,FJV7HeHT4q4,0
